pension_start_age,spend_multiplier,strategy,spending_rule,initial_money,initial_annual_cost,value_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
60,0.5000,DynamicV1Rebalance,5.0000,4977.4070,248.8703,spend25p,107.4476,100.2923,93.4590,86.5557,79.8266,73.2153,66.3125,59.0167,51.8508,44.1270,36.2676,28.5065,21.3604,14.7898,9.2411,4.3650,-0.2874,-3.9260,-7.1882,-10.1048,-13.2590,-15.7602,-18.4343,-21.2587,-24.0567,-27.4720,-30.9411,-34.7954,-38.6545,-43.2609,-48.2701,-53.4939,-59.2021,-64.9752,-71.7625
60,0.5000,DynamicV1Rebalance,5.0000,4977.4070,248.8703,spend50p,108.3913,102.9733,97.8672,93.0344,88.4999,83.5267,78.0193,72.2740,65.8256,58.4380,51.3461,43.9065,36.9737,30.4110,24.4653,19.3644,14.7279,11.1069,7.7455,4.6379,2.0942,-0.2802,-2.9253,-6.1715,-9.3084,-13.0088,-16.9949,-21.1670,-26.1889,-31.7285,-37.0214,-42.6822,-49.4625,-56.5017,-63.3969
60,0.5000,DynamicV1Rebalance,5.0000,4977.4070,248.8703,spend75p,109.2724,105.6111,102.4393,99.2597,96.2239,93.3796,89.9354,85.9533,80.3222,74.2476,66.9055,60.3568,53.2840,47.1615,41.1176,36.4643,31.8377,28.0565,24.7840,22.0340,20.4413,17.8894,16.0532,14.0930,11.8605,8.6408,5.1316,0.0525,-5.2333,-11.0513,-17.9805,-25.2763,-33.2722,-42.4962,-51.5774
60,0.5000,DynamicV1Rebalance,6.0000,4147.8391,248.8703,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
60,0.5000,DynamicV1Rebalance,6.0000,4147.8391,248.8703,spend25p,107.4476,100.2923,93.4590,86.5557,79.8266,73.2153,66.3125,59.0167,51.8508,44.1270,36.2676,28.5065,21.3604,14.7898,9.2411,4.3650,-0.2874,-3.9260,-7.1882,-10.1048,-13.2590,-15.7602,-18.4343,-21.2587,-24.0567,-27.4720,-30.9411,-34.7954,-38.6545,-43.2609,-48.2701,-53.4939,-59.2021,-64.9752,-71.7625
60,0.5000,DynamicV1Rebalance,6.0000,4147.8391,248.8703,spend50p,108.3913,102.9733,97.8672,93.0344,88.4999,83.5267,78.0193,72.2740,65.8256,58.4380,51.3461,43.9065,36.9737,30.4110,24.4653,19.3644,14.7279,11.1069,7.7455,4.6379,2.0942,-0.2802,-2.9253,-6.1715,-9.3084,-13.0088,-16.9949,-21.1670,-26.1889,-31.7285,-37.0214,-42.6822,-49.4625,-56.5017,-63.3969
60,0.5000,DynamicV1Rebalance,6.0000,4147.8391,248.8703,spend75p,109.2724,105.6111,102.4393,99.2597,96.2239,93.3796,89.9354,85.9533,80.3222,74.2476,66.9055,60.3568,53.2840,47.1615,41.1176,36.4643,31.8377,28.0565,24.7840,22.0340,20.4413,17.8894,16.0532,14.0930,11.8605,8.6408,5.1316,0.0525,-5.2333,-11.0513,-17.9805,-25.2763,-33.2722,-42.4962,-51.5774
60,0.5000,DynamicV1Rebalance,7.0000,3555.2907,248.8703,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995
60,0.5000,DynamicV1Rebalance,7.0000,3555.2907,248.8703,spend25p,107.4476,100.2923,93.4590,86.5557,79.8266,73.2153,66.3125,59.0167,51.8508,44.1270,36.2676,28.5065,21.3604,14.7898,9.2411,4.3650,-0.2874,-3.9260,-7.1882,-10.1048,-13.2590,-15.7602,-18.4343,-21.2587,-24.0567,-27.4720,-30.9411,-34.7954,-38.6545,-43.2609,-48.2701,-53.4939,-59.2021,-64.9752,-71.7625
60,0.5000,DynamicV1Rebalance,7.0000,3555.2907,248.8703,spend50p,108.3913,102.9733,97.8672,93.0344,88.4999,83.5267,78.0193,72.2740,65.8256,58.4380,51.3461,43.9065,36.9737,30.4110,24.4653,19.3644,14.7279,11.1069,7.7455,4.6379,2.0942,-0.2802,-2.9253,-6.1715,-9.3084,-13.0088,-16.9949,-21.1670,-26.1889,-31.7285,-37.0214,-42.6822,-49.4625,-56.5017,-63.3969
